,Song,Artist
0,Rich Men North of Richmond,Oliver Anthony Music
1,Paint The Town Red,Doja Cat
2,Lose Control,Teddy Swims
3,I Remember Everything (feat. Kacey Musgraves),Zach Bryan
4,Back for More,TOMORROW X TOGETHER & Anitta
5,Lil Boo Thang,Paul Russell
6,The Tree,Maren Morris
7,Slime You Out (feat. SZA),Drake
8,Fast Car,Luke Combs
9,White Horse,Chris Stapleton
10,vampire,Olivia Rodrigo
11,Cruel Summer,Taylor Swift
12,Need A Favor,Jelly Roll
13,Bongos,Cardi B & Megan Thee Stallion
14,Used To Be Young,Miley Cyrus
15,Wanna Be Saved,Austin Williams
16,Save Me (with Lainey Wilson),Jelly Roll
17,Dance The Night,Dua Lipa
18,I Got A Problem,Drake Milligan
19,Last Night,Morgan Wallen
20,Calm Down,Rema & Selena Gomez
21,Bops Goin Brazy,Tyga
22,Fake As Hell (with Avril Lavigne),All Time Low
23,Thinkin’ Bout Me,Morgan Wallen
24,Try That In A Small Town,Jason Aldean
25,Watermelon Moonshine,Lainey Wilson
26,greedy,Tate McRae
27,Religiously,Bailey Zimmerman
28,Another One Of Me (feat. The Weeknd & 21 Savage),Diddy & French Montana
29,Snooze (Acoustic) [feat. Justin Bieber],SZA
30,Michelle,Tish Melton
31,Back for More (Performance Ver.),TOMORROW X TOGETHER & Anitta
32,Bubbles Up,Jimmy Buffett
33,Think I'm In Love With You,Chris Stapleton
34,Sensitive,Loossemble
35,Flowers,Miley Cyrus
36,Never Die (feat. Lil Wayne),Nas
37,Last Time I Saw You,Nicki Minaj
38,I Want to go Home,Oliver Anthony Music
39,In Your Love,Tyler Childers
40,Beat You There,Will Dempsey
41,Steal The Show,Lauv
42,Moments (feat. Justin Bieber),Diddy
43,Anti-Hero,Taylor Swift
44,Sensitive (English Version),Loossemble
45,Margaritaville,Jimmy Buffett
46,Something in the Orange (Z&E's Version),Zach Bryan
47,Slow Dancing (Piano Ver.),V
48,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish
49,Slow Dancing,V
50,Blue,V
51,We Didn’t Start The Fire,Fall Out Boy
52,bad idea right?,Olivia Rodrigo
53,Just Another Day,Jon Secada
54,Angry,The Rolling Stones
55,Son Of A Sinner,Jelly Roll
56,Snooze,SZA
57,Dial Drunk,Noah Kahan & Post Malone
58,Chevrolet (feat. Jelly Roll),Dustin Lynch
59,get him back!,Olivia Rodrigo
60,Aint Gotta Dollar,Oliver Anthony Music
61,Penthouse,Kelsea Ballerini
62,Love You Anyway,Luke Combs
63,Used To Be Young,Miley Cyrus
64,Dientes,"J Balvin, USHER & DJ Khaled"
65,Daylight,David Kushner
66,Rain,The Teskey Brothers
67,Barbie World (with Aqua),Nicki Minaj & Ice Spice
68,Come Monday,Jimmy Buffett
69,Chasing Cars,Nate Smith
70,Bye Bye Bye,*NSYNC
71,Single Soon,Selena Gomez
72,Pretty Little Poison,Warren Zeiders
73,Everything I Love,Morgan Wallen
74,fukumean,Gunna
75,Indiana Jones,Wayland
76,Tennessee Whiskey,Chris Stapleton
77,For Us,V
78,TRUCK BED,HARDY
79,What Was I Made For?,Billie Eilish
80,Good Good,"USHER, Summer Walker & 21 Savage"
81,favorite kind of high (David Guetta Remix),Kelly Clarkson
82,Chasing Highs,ALMA
83,Bury Me in Georgia (Single Edit),Kane Brown
84,My Gummie Just Kicked In,Jimmy Buffett
85,"Praise (feat. Brandon Lake, Chris Brown & Chandler Moore)",Elevation Worship
86,High Heels,Flo Rida & Walker Hayes
87,Here And Now,Staind
88,Enter Sandman,Metallica
89,Hey Driver (feat. The War and Treaty),Zach Bryan
90,All My Life (feat. J. Cole),Lil Durk
91,Demons,Doja Cat
92,Some Things I'll Never Know,Teddy Swims
93,It's Gonna Be Me,*NSYNC
94,LADY GAGA,"Peso Pluma, Gabito Ballesteros & Junior H"
95,Bops Goin Brazy,Tyga
96,Thunderstruck,AC/DC
97,Seasons,Thirty Seconds to Mars
98,Fever,Nas
99,Unstoppable,Sia
